,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,27,0,7,5.0,0,1.0,0,1,0.0,0,0,0,4.932098765432099,4.9358178053830235,4.945755693581781,4.960218870156758,4.992827565808932
2,20170404,27,0,7,3.0,0.0,3.0,1.0,1,-1.0,0,1,0,5.0,5.0,5.0,5.0,5.0
3,20170405,27,0,7,6.0,0.0,4.0,2.0,1,-2.0,0,2,0,3.0,4.0,4.0,4.0,4.0
4,20170407,27,0,19,10.0,0.0,4.0,3.0,1,-3.0,0,3,0,6.0,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667
5,20170408,27,0,19,1.0,0.3333333333333333,4.0,1.5,1,1.0,1,3,0,10.0,6.333333333333333,6.0,6.0,6.0
6,20170409,27,0,19,8.0,0.25,4.0,2.5,0,-1.0,1,4,0,1.0,5.666666666666667,5.0,5.0,5.0
7,20170411,27,1,12,5.0,0.5,4.0,2.5,1,1.0,2,4,0,8.0,6.333333333333333,5.6,5.5,5.5
8,20170412,27,1,12,8.0,0.4,4.0,3.5,1,-1.0,2,5,0,5.0,4.666666666666667,6.0,5.428571428571429,5.428571428571429
9,20170413,27,1,12,8.0,0.6,4.0,2.5,0,1.0,3,5,0,8.0,7.0,6.4,5.857142857142857,5.75
10,20170414,27,1,23,1.0,0.8,4.0,1.5,1,2.0,4,5,0,8.0,7.0,6.0,6.571428571428571,6.0
11,20170415,27,1,23,0.0,0.6666666666666666,4.0,2.5,1,-1.0,4,6,0,1.0,5.666666666666667,6.0,5.857142857142857,5.5
12,20170416,27,1,23,7.0,0.5714285714285714,4.0,3.5,0,-2.0,4,7,0,0.0,3.0,4.4,4.428571428571429,5.0
13,20170417,27,1,19,7.0,0.5,5.0,4.0,1,-3.0,4,8,0,7.0,2.6666666666666665,4.8,5.285714285714286,5.4
14,20170418,27,1,19,2.0,0.625,4.0,4.0,1,1.0,5,8,0,7.0,4.666666666666667,4.6,5.142857142857143,5.5
15,20170419,27,1,19,1.0,0.5555555555555556,5.0,4.0,0,-1.0,5,9,0,2.0,5.333333333333333,3.4,4.714285714285714,4.7
