,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,28,1,2,2.0,0,1.0,0,0,0.0,0,0,0,4.277777777777778,4.299171842650103,4.299171842650104,4.299171842650104,4.299171842650104
2,20170405,28,1,2,1.0,0.0,4.0,1.0,1,-1.0,0,1,0,2.0,2.0,2.0,2.0,2.0
3,20170406,28,1,26,5.0,0.0,5.0,2.0,1,-2.0,0,2,0,1.0,1.5,1.5,1.5,1.5
4,20170407,28,1,26,8.0,0.5,4.0,1.5,1,1.0,1,2,0,5.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
5,20170408,28,1,26,2.0,0.3333333333333333,4.0,2.5,1,-1.0,1,3,0,8.0,4.666666666666667,4.0,4.0,4.0
6,20170409,28,1,26,2.0,0.25,4.0,3.5,0,-2.0,1,4,0,2.0,5.0,3.6,3.6,3.6
7,20170411,28,0,15,3.0,0.2,5.0,3.5,1,-3.0,1,5,0,2.0,4.0,3.6,3.3333333333333335,3.3333333333333335
8,20170412,28,0,15,0.0,0.16666666666666666,5.0,3.5,1,-4.0,1,6,0,3.0,2.3333333333333335,4.0,3.2857142857142856,3.2857142857142856
9,20170413,28,0,2,1.0,0.14285714285714285,5.0,4.5,1,-5.0,1,7,0,0.0,1.6666666666666667,3.0,3.0,2.875
10,20170414,28,0,2,4.0,0.125,5.0,5.5,1,-6.0,1,8,0,1.0,1.3333333333333333,1.6,3.0,2.6666666666666665
11,20170415,28,0,2,2.0,0.1111111111111111,5.0,6.5,0,-7.0,1,9,0,4.0,1.6666666666666667,2.0,2.857142857142857,2.8
12,20170416,28,0,2,4.0,0.2222222222222222,5.0,5.5,0,1.0,2,9,0,2.0,2.3333333333333335,2.0,2.0,2.8
13,20170418,28,0,3,7.0,0.2,5.0,6.5,1,-1.0,2,10,0,4.0,3.3333333333333335,2.2,2.2857142857142856,3.1
14,20170419,28,0,3,3.0,0.18181818181818182,5.0,6.5,1,-2.0,2,11,0,7.0,4.333333333333333,3.6,3.0,3.3
15,20170420,28,0,3,1.0,0.2727272727272727,5.0,6.5,0,1.0,3,11,0,3.0,4.666666666666667,4.0,3.0,2.8
16,20170421,28,1,12,8.0,0.25,5.0,7.5,1,-1.0,3,12,0,1.0,3.6666666666666665,3.4,3.142857142857143,2.7
17,20170422,28,1,12,4.0,0.3333333333333333,5.0,7.5,1,1.0,4,12,0,8.0,4.0,4.6,4.142857142857143,3.3
18,20170423,28,1,12,6.0,0.3076923076923077,5.0,8.5,0,-1.0,4,13,0,4.0,4.333333333333333,4.6,4.142857142857143,3.4
19,20170424,28,1,12,1.0,0.38461538461538464,5.0,7.5,1,1.0,5,13,0,6.0,6.0,4.4,4.714285714285714,4.0
20,20170425,28,1,25,6.0,0.35714285714285715,5.0,8.5,1,-1.0,5,14,0,1.0,3.6666666666666665,4.0,4.285714285714286,4.0
21,20170427,28,1,25,4.0,0.42857142857142855,5.0,7.5,0,1.0,6,14,1,6.0,4.333333333333333,5.0,4.142857142857143,4.2
22,20170427,28,1,25,4.0,0.4,5.0,9.0,1,-1.0,6,15,1,4.0,3.6666666666666665,4.2,4.285714285714286,4.4
23,20170428,28,0,26,4.0,0.375,5.0,9.0,1,-2.0,6,16,0,4.0,4.666666666666667,4.2,4.714285714285714,4.4
24,20170429,28,0,26,4.0,0.35294117647058826,5.0,9.0,0,-3.0,6,17,0,4.0,4.0,3.8,4.142857142857143,4.1
25,20170430,28,0,26,3.0,0.4117647058823529,5.0,9.0,0,1.0,7,17,0,4.0,4.0,4.4,4.142857142857143,4.2
26,20170501,28,1,18,7.0,0.47058823529411764,5.0,8.0,1,2.0,8,17,0,3.0,3.6666666666666665,3.8,3.7142857142857144,4.4
27,20170502,28,1,18,5.0,0.5294117647058824,5.0,8.0,1,3.0,9,17,0,7.0,4.666666666666667,4.4,4.571428571428571,4.3
28,20170503,28,1,18,6.0,0.5,5.0,8.0,1,-1.0,9,18,0,5.0,5.0,4.6,4.428571428571429,4.4
29,20170505,28,1,26,8.0,0.47368421052631576,5.0,9.0,1,-2.0,9,19,0,6.0,6.0,5.0,4.714285714285714,4.4
30,20170506,28,1,26,1.0,0.5263157894736842,5.0,9.0,0,1.0,10,19,0,8.0,6.333333333333333,5.8,5.285714285714286,5.1
31,20170507,28,1,26,2.0,0.5,5.0,10.0,0,-1.0,10,20,0,1.0,5.0,5.4,4.857142857142857,4.6
32,20170508,28,0,7,4.0,0.55,5.0,10.0,1,1.0,11,20,0,2.0,3.6666666666666665,4.4,4.571428571428571,4.4
33,20170509,28,0,7,0.0,0.6,5.0,10.0,1,2.0,12,20,0,4.0,2.3333333333333335,4.2,4.714285714285714,4.4
34,20170510,28,0,7,8.0,0.5714285714285714,5.0,10.5,1,-1.0,12,21,0,0.0,2.0,3.0,3.7142857142857144,4.0
35,20170511,28,0,23,7.0,0.6190476190476191,5.0,9.5,1,1.0,13,21,0,8.0,4.0,3.0,4.142857142857143,4.4
36,20170512,28,0,23,4.0,0.6666666666666666,5.0,9.0,1,2.0,14,21,0,7.0,5.0,4.2,4.285714285714286,4.8
37,20170513,28,0,23,7.0,0.7142857142857143,5.0,8.0,0,3.0,15,21,0,4.0,6.333333333333333,4.6,3.7142857142857144,4.5
38,20170514,28,0,23,3.0,0.7619047619047619,5.0,7.0,0,4.0,16,21,0,7.0,6.0,5.2,4.571428571428571,4.7
39,20170515,28,0,1,6.0,0.8095238095238095,5.0,6.5,1,5.0,17,21,0,3.0,4.666666666666667,5.8,4.714285714285714,4.4
40,20170516,28,0,1,5.0,0.7727272727272727,5.0,7.0,0,-1.0,17,22,0,6.0,5.333333333333333,5.4,5.0,4.2
41,20170517,28,1,1,4.0,0.7391304347826086,5.0,8.0,1,-2.0,17,23,0,5.0,4.666666666666667,5.0,5.714285714285714,4.6
42,20170518,28,1,1,9.0,0.7083333333333334,5.0,9.0,1,-3.0,17,24,0,4.0,5.0,5.0,5.142857142857143,4.8
43,20170519,28,1,2,3.0,0.75,5.0,8.0,1,1.0,18,24,0,9.0,6.0,5.4,5.428571428571429,5.3
