,Date,Tm,Home_Away,Opp,R,W-L,Rank,GB,D/N,Streak,Wins,Losses,DoubleHeader,R1,R3,R5,R7,R10
1,20170403,29,0,14,4.0,0,1.0,0,0,0,0,0,0,5.055555555555555,5.047619047619048,5.047619047619048,5.047619047619048,5.047619047619048
2,20170405,29,0,14,6.0,1.0,1.0,0,1,1,1,0,0,4.0,4.0,4.0,4.0,4.0
3,20170406,29,0,14,3.0,2.0,1.0,-1.0,1,2,2,0,0,6.0,5.0,5.0,5.0,5.0
4,20170407,29,1,20,7.0,2.0,1.0,0,0,-1,2,1,0,3.0,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333
5,20170408,29,1,20,3.0,3.0,1.0,-1.0,1,1,3,1,0,7.0,5.333333333333333,5.0,5.0,5.0
6,20170409,29,1,20,3.0,1.5,1.0,0,0,-1,3,2,0,3.0,4.333333333333333,4.6,4.6,4.6
7,20170410,29,0,25,14.0,1.0,1.0,0,1,-2,3,3,0,3.0,4.333333333333333,4.4,4.333333333333333,4.333333333333333
8,20170411,29,0,25,8.0,1.3333333333333333,1.0,0,1,1,4,3,0,14.0,6.666666666666667,6.0,5.714285714285714,5.714285714285714
9,20170412,29,0,25,1.0,1.6666666666666667,1.0,0,0,2,5,3,0,8.0,8.333333333333334,7.0,6.285714285714286,6.0
10,20170414,29,0,20,3.0,1.25,2.0,1.0,0,-1,5,4,0,1.0,7.666666666666667,5.8,5.571428571428571,5.444444444444445
11,20170415,29,0,20,2.0,1.5,2.0,0.5,0,1,6,4,0,3.0,4.0,5.8,5.571428571428571,5.2
12,20170416,29,0,20,6.0,1.2,2.0,0.5,0,-1,6,5,0,2.0,2.0,5.6,4.857142857142857,5.0
13,20170418,29,1,1,3.0,1.4,1.0,0,1,1,7,5,0,6.0,3.6666666666666665,4.0,5.285714285714286,5.0
14,20170419,29,1,1,14.0,1.6,1.0,-0.5,1,2,8,5,0,3.0,3.6666666666666665,3.0,5.285714285714286,5.0
15,20170420,29,1,1,3.0,1.8,1.0,-1.5,1,3,9,5,0,14.0,7.666666666666667,5.6,5.285714285714286,5.7
16,20170421,29,1,17,4.0,2.0,1.0,-2.0,1,4,10,5,0,3.0,6.666666666666667,5.6,4.571428571428571,5.7
17,20170422,29,1,17,3.0,2.2,1.0,-3.0,0,5,11,5,0,4.0,7.0,6.0,5.0,5.8
18,20170423,29,1,17,6.0,2.4,1.0,-3.0,1,6,12,5,0,3.0,3.3333333333333335,5.4,5.0,4.7
19,20170424,29,1,8,4.0,2.6,1.0,-3.0,1,7,13,5,0,6.0,4.333333333333333,6.0,5.571428571428571,4.5
20,20170425,29,1,8,15.0,2.1666666666666665,1.0,-2.5,1,-1,13,6,0,4.0,4.333333333333333,4.0,5.285714285714286,4.8
21,20170426,29,1,8,11.0,2.3333333333333335,1.0,-3.0,1,1,14,6,0,15.0,8.333333333333334,6.4,7.0,6.0
22,20170427,29,1,8,16.0,2.5,1.0,-4.0,0,2,15,6,0,11.0,10.0,7.8,6.571428571428571,6.9
23,20170428,29,0,17,5.0,2.6666666666666665,1.0,-4.0,1,3,16,6,0,16.0,14.0,10.4,8.428571428571429,7.9
24,20170429,29,0,17,3.0,2.2857142857142856,1.0,-4.0,0,-1,16,7,0,5.0,10.666666666666666,10.2,8.571428571428571,8.1
25,20170430,29,0,17,23.0,2.0,1.0,-4.0,0,-2,16,8,0,3.0,8.0,10.0,8.571428571428571,7.0
26,20170502,29,0,0,3.0,2.125,1.0,-5.0,1,1,17,8,0,23.0,10.333333333333334,11.6,11.0,9.0
27,20170503,29,0,0,2.0,1.8888888888888888,1.0,-4.5,1,-1,17,9,0,3.0,9.666666666666666,10.0,10.857142857142858,8.9
28,20170504,29,0,0,4.0,2.0,1.0,-5.5,0,1,18,9,0,2.0,9.333333333333334,7.2,9.0,8.8
29,20170505,29,1,20,4.0,2.111111111111111,1.0,-6.5,1,2,19,9,0,4.0,3.0,7.0,8.0,8.6
30,20170506,29,1,20,6.0,2.2222222222222223,1.0,-6.5,1,3,20,9,0,4.0,3.3333333333333335,7.2,6.285714285714286,8.6
31,20170507,29,1,20,5.0,2.3333333333333335,1.0,-6.5,0,4,21,9,0,6.0,4.666666666666667,3.8,6.428571428571429,7.7
