id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game,min,oreb,pf,player,pts,reb,stl,team,turnover
7313970,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,"{'id': 473357, 'date': '2021-10-04T00:00:00.000Z', 'home_team_id': 28, 'home_team_score': 123, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 107}",,0,0,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",0,0,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",0
7568694,3,0,13,25.0,4,1,42.1,19,8,86.7,15,13,"{'id': 473475, 'date': '2021-10-28T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 110, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 9, 'visitor_team_score': 102}",30:58,5,2,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",30,18,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",4
7322481,5,1,5,66.7,3,2,47.1,17,8,66.7,6,4,"{'id': 473417, 'date': '2021-10-20T00:00:00.000Z', 'home_team_id': 19, 'home_team_score': 97, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 117}",25:42,1,3,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",22,6,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",1
7378432,4,4,6,40.0,5,2,40.0,15,6,83.3,6,5,"{'id': 473425, 'date': '2021-10-22T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 109, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 3, 'visitor_team_score': 114}",29:43,2,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",19,8,2,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",3
7777676,3,0,5,0.0,0,0,40.0,15,6,87.5,8,7,"{'id': 473527, 'date': '2021-11-04T00:00:00.000Z', 'home_team_id': 9, 'home_team_score': 98, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 109}",30:02,4,3,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",19,9,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",2
7831187,3,2,14,80.0,5,4,57.9,19,11,57.1,7,4,"{'id': 473542, 'date': '2021-11-06T00:00:00.000Z', 'home_team_id': 5, 'home_team_score': 105, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 114}",34:02,1,1,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",30,15,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",6
7510746,3,1,5,0.0,2,0,28.6,7,2,90.9,11,10,"{'id': 473461, 'date': '2021-10-26T00:00:00.000Z', 'home_team_id': 20, 'home_team_score': 112, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 23, 'visitor_team_score': 99}",30:25,1,1,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",14,6,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",5
8405532,3,2,12,50.0,4,2,52.2,23,12,76.2,21,16,"{'id': 473705, 'date': '2021-11-27T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 120, 'period': 6, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 18, 'visitor_team_score': 121}",45:26,2,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",42,14,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",4
8455359,5,2,9,50.0,2,1,25.0,16,4,70.0,10,7,"{'id': 473718, 'date': '2021-11-29T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 101, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 22, 'visitor_team_score': 96}",29:45,4,4,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",16,13,0,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",3
8848059,5,1,13,20.0,5,1,38.5,13,5,100.0,6,6,"{'id': 473828, 'date': '2021-12-15T00:00:00.000Z', 'home_team_id': 23, 'home_team_score': 96, 'period': 4, 'postseason': False, 'season': 2021, 'status': 'Final', 'time': '', 'visitor_team_id': 16, 'visitor_team_score': 101}",37:05,1,1,"{'id': 145, 'first_name': 'Joel', 'height_feet': 7, 'height_inches': 0, 'last_name': 'Embiid', 'position': 'F-C', 'team_id': 23, 'weight_pounds': 250}",17,14,1,"{'id': 23, 'abbreviation': 'PHI', 'city': 'Philadelphia', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Philadelphia 76ers', 'name': '76ers'}",1
